x,y,total_volume_new
4133535.22048673,2797277.19830213,0
4133535.22048673,2797677.19830226,0
4133535.22048673,2797577.19830223,0
4133535.22048673,2797477.1983022,0
4133535.22048673,2797377.19830216,0
4133535.22048673,2798077.19830237,184.476600469463
4133535.22048673,2797977.19830234,307.210999999882
4133535.22048673,2797877.19830231,518.96936241517
4133535.22048673,2797777.19830228,0
4133535.22048673,2798177.1983024,0
4133635.22048707,2852077.19831802,0
4133635.22048707,2851977.19831799,0
4133635.22048707,2851877.19831796,0
4133635.22048707,2851777.19831794,0
4133635.22048707,2852277.19831807,0
4133635.22048707,2852177.19831805,0
4133635.22048707,2851677.1983179,0
4133635.22048708,2853677.19831847,527.167999990284
4133635.22048708,2853577.19831845,0
4133635.22048708,2853477.19831842,0
4133635.22048708,2853877.19831853,79.2103902867995
4133635.22048708,2853777.1983185,919.453609698964
4133635.22048708,2854477.1983187,0
4133635.22048708,2854377.19831867,0
4133635.22048708,2854277.19831864,0
4133635.22048703,2846477.19831642,0
4133635.22048703,2846377.19831639,0
4133635.22048703,2846277.19831637,0
4133635.22048704,2846577.19831645,0
4133635.22048702,2844077.19831574,0
4133635.22048702,2843977.19831571,0
4133635.22048702,2843877.19831568,0
4133635.22048702,2844177.19831577,0
4133635.22048714,2863177.19832116,2118.65642424767
4133635.22048713,2863077.19832113,737.457575743052
4133635.22048713,2862977.1983211,0
4133635.2204871,2857277.19831949,435.627499990677
4133635.2204871,2857177.19831946,0
4133635.2204871,2857677.1983196,0
4133635.2204871,2857577.19831958,0
4133635.2204871,2857477.19831955,1608.96726056477
4133635.2204871,2857377.19831952,0
4133635.2204871,2857777.19831963,0
4133635.22048713,2862877.19832107,0
4133635.22048713,2862777.19832105,0
4133635.22048713,2862677.19832102,0
4133535.22048698,2838877.19831425,174.604240318877
4133535.22048698,2838777.19831423,0
4133535.22048698,2838677.1983142,245.487000001967
4133535.22048698,2838577.19831417,0
4133535.22048698,2839277.19831436,0
4133535.22048698,2839177.19831434,0
4133535.22048698,2839077.19831431,0
4133535.22048698,2838977.19831428,0
4133535.22048699,2839677.19831448,0
4133535.22048699,2839577.19831445,143.568567955494
4133535.22048699,2839477.19831443,0
4133535.22048698,2839377.19831439,0
4133535.22048699,2839977.19831457,838.253596872673
4133535.22048699,2839877.19831454,0
4133535.22048699,2839777.19831451,0
4133535.22048701,2842877.1983154,0
4133535.22048701,2842777.19831537,0
4133535.220487,2842677.19831534,0
4133535.22048701,2842977.19831542,0
4133535.22048694,2832477.19831241,200.043000008399
4133535.22048694,2832377.19831239,0
4133535.22048694,2832277.19831235,0
4133535.22048694,2832177.19831232,0
4133535.22048695,2832877.19831253,0
4133535.22048694,2832777.1983125,0
4133535.22048694,2832677.19831247,164.12667245362
4133535.22048694,2832577.19831244,2659.18332754811
4133535.22048694,2831677.19831218,0
4133535.22048694,2832077.1983123,0
4133535.22048694,2831977.19831227,0
4133535.22048694,2831877.19831224,0
4133535.22048694,2831777.19831221,0
4133535.22048695,2834277.19831293,0
4133535.22048695,2834177.1983129,0
4133535.22048706,2852077.19831802,0
4133535.22048706,2851977.19831799,0
4133535.22048706,2851877.19831796,0
4133535.22048706,2851777.19831793,0
4133535.22048706,2852277.19831807,0
4133535.22048706,2852177.19831805,0
4133535.22048708,2854577.19831873,0
4133535.22048707,2853677.19831847,0
4133535.22048707,2853577.19831844,0
4133535.22048707,2853977.19831856,0
4133535.22048707,2853877.19831853,244.898573976662
4133535.22048707,2853777.1983185,826.543000013707
4133535.22048708,2854477.1983187,0
4133535.22048708,2854377.19831867,0
4133535.22048708,2854277.19831864,0
4133535.22048703,2846477.19831643,0
4133535.22048703,2846377.1983164,787.222526376881
4133535.22048703,2846277.19831637,0
4133535.22048701,2844077.19831574,0
4133535.22048701,2843977.19831571,0
4133535.22048701,2843877.19831568,0
4133535.22048702,2844477.19831586,0
4133535.22048701,2844177.19831577,0
4133535.22048702,2844777.19831594,0
4133535.22048702,2844677.19831591,0
4133535.22048702,2844577.19831589,0
4133535.22048703,2846877.19831654,0
4133535.22048703,2846777.19831651,0
4133535.22048703,2846677.19831648,0
4133535.22048703,2846577.19831645,0
4133535.22048682,2813277.19830684,0
4133535.22048682,2813177.19830681,0
4133535.22048682,2813077.19830678,0
4133535.22048683,2814077.19830707,0
4133535.22048683,2813977.19830705,1273.16999998435
4133535.22048683,2813877.19830701,0
4133535.22048683,2814477.19830719,0
4133535.22048683,2814377.19830716,2357.40850000449
4133535.22048683,2814277.19830713,0
4133535.22048683,2814177.1983071,0
4133535.22048682,2811677.19830637,0
4133535.22048681,2811577.19830634,0
4133535.22048681,2811477.19830632,0
4133535.22048681,2811377.19830628,265.781018979102
4133535.22048683,2814577.19830722,0
4133535.22048679,2807677.1983052,0
4133535.22048679,2807577.19830517,0
4133535.22048679,2807477.19830514,0
4133535.22048679,2808077.19830531,0
4133535.22048679,2807977.19830529,0
4133535.22048679,2807877.19830526,0
4133535.22048679,2807777.19830523,1014.9968171631
4133535.22048681,2810477.19830602,0
4133535.22048681,2810877.19830614,0
4133535.22048681,2810777.19830611,0
4133535.22048681,2810677.19830608,664.86949998932
4133535.22048681,2810577.19830605,0
4133535.22048681,2811277.19830626,202.136981036654
4133535.22048681,2811177.19830623,0
4133535.22048681,2811077.19830619,0
4133535.22048681,2810977.19830617,0
4133535.22048691,2827677.19831103,0
4133535.22048691,2827577.198311,0
4133535.22048691,2827477.19831097,0
4133535.22048691,2827377.19831094,0
4133535.22048692,2827977.19831112,0
4133535.22048691,2827877.19831108,0
4133535.22048691,2827777.19831105,0
4133535.22048692,2828277.1983112,364.414499996323
4133535.22048692,2828177.19831117,0
4133535.22048686,2819577.19830868,0
4133535.22048687,2820077.19830882,0
4133535.22048687,2819977.1983088,0
4133535.22048687,2819877.19830876,0
4133535.22048686,2819777.19830874,0
4133535.22048687,2820177.19830885,0
4133535.22048686,2818877.19830847,539.395999971114
4133535.22048686,2818777.19830845,0
4133535.22048686,2818677.19830841,810.491999994544
4133535.22048686,2818577.19830839,0
4133535.22048688,2822877.19830964,0
4133535.22048688,2822777.1983096,0
4133535.22048689,2823277.19830975,7339.56166652826
4133535.22048689,2823177.19830972,3380.7536420817
4133535.22048688,2823077.19830969,0
4133535.22048688,2822977.19830967,0
4133535.22048689,2823677.19830987,808.884051951533
4133535.22048689,2823577.19830984,0
4133535.22048689,2823477.19830981,3563.005687133
4133535.22048689,2823377.19830978,0
4133535.22048689,2823977.19830995,0
4133535.22048689,2823877.19830992,0
4133535.22048689,2823777.1983099,332.753254919406
4133935.22048701,2838777.19831423,0
4133935.22048701,2838677.1983142,0
4133935.22048701,2838577.19831417,0
4133935.22048704,2843677.19831563,0
4133935.22048704,2844077.19831574,946.256999998726
4133935.22048704,2843977.19831572,2773.65626899464
4133935.22048704,2843877.19831569,1708.28973099412
4133935.22048704,2843777.19831566,0
4133935.22048704,2844277.1983158,0
4133935.22048704,2844177.19831577,1003.67500000866
4133935.22048698,2834077.19831287,0
4133935.22048698,2834477.19831299,841.85510109606
4133935.22048698,2834377.19831297,17.6445941864513
4133935.22048698,2834277.19831293,0
4133935.22048698,2834177.1983129,1419.67400001129
4133935.22048698,2834677.19831305,0
4133935.22048698,2834577.19831302,0
4133935.220487,2837077.19831374,0
4133935.220487,2836977.19831371,0
4133935.220487,2836877.19831368,0
4133935.220487,2836777.19831365,0
4133935.220487,2836677.19831362,738.044999994122
4133935.2204871,2853277.19831836,0
4133935.2204871,2853177.19831834,0
4133935.2204871,2853077.19831831,0
4133935.22048709,2852977.19831828,0
4133935.2204871,2853677.19831848,0
4133935.2204871,2853477.19831842,0
4133935.2204871,2853377.19831839,0
4133935.2204871,2854077.19831858,0
4133935.2204871,2853777.1983185,0
4133935.2204871,2854377.19831867,0
4133935.2204871,2854277.19831864,0
4133935.2204871,2854177.19831862,0
4133935.22048709,2851677.19831791,0
4133935.22048709,2852077.19831802,0
4133935.22048709,2851977.19831799,0
4133935.22048709,2851877.19831797,0
4133935.22048709,2851777.19831794,0
4133935.22048709,2852877.19831825,1656.27309091687
4133935.22048709,2852777.19831822,59.3709090530872
4133935.22048709,2852677.19831819,0
4133935.22048712,2857277.19831949,0
4133935.22048712,2857177.19831946,0
4133935.22048712,2857677.19831961,500.250000003725
4133935.22048712,2857577.19831958,0
4133935.22048712,2857477.19831955,0
4133935.22048712,2857377.19831953,381.945499999245
4133935.22048708,2851277.1983178,418.205600956641
4133935.22048708,2851177.19831776,2.11939904924948
4133935.22048708,2851077.19831774,0
4133935.22048686,2814677.19830725,0
4133935.22048686,2814577.19830723,0
4133935.22048686,2814077.19830708,0
4133935.22048686,2813977.19830705,0
4133935.22048686,2814477.19830719,0
4133935.22048686,2814377.19830716,0
4133935.22048686,2814277.19830714,0
4133935.22048686,2814177.19830711,0
4133935.22048689,2819277.19830859,0
4133935.22048689,2819177.19830857,700.245371138351
4133935.22048689,2819077.19830853,8306.95676505049
4133935.22048689,2818977.19830851,0
4133935.22048682,2807677.1983052,0
4133935.22048682,2807577.19830518,0
4133935.22048682,2807777.19830523,0
4133935.22048684,2810877.19830614,980.32586291125
4133935.22048684,2810777.19830611,0
4133935.22048684,2810677.19830608,0
4133935.22048684,2811077.1983062,9847.88444271398
4133935.22048684,2810977.19830617,4782.6217252257
4133935.22048694,2827677.19831103,1724.35249998281
4133935.22048694,2827577.198311,0
4133935.22048694,2827477.19831097,0
4133935.22048694,2827377.19831094,0
4133935.22048694,2827977.19831111,0
4133935.22048694,2827877.19831109,6742.98851796488
4133935.22048694,2827777.19831106,15401.1410919527
4133935.22048694,2827277.19831091,0
4133935.22048694,2827177.19831089,0
4133935.22048697,2831677.19831218,0
4133935.22048697,2831977.19831227,0
4133935.22048697,2831877.19831224,0
4133935.22048697,2831777.19831221,676.556350537576
4133935.22048689,2819677.19830871,0
4133935.22048689,2819577.19830869,0
4133935.22048689,2819477.19830865,0
4133935.22048689,2819377.19830862,240.987999998545
4133935.22048689,2820077.19830882,2344.64000005722
4133935.22048689,2819977.1983088,0
4133935.22048689,2819877.19830877,0
4133935.22048689,2819777.19830874,0
4133935.2204869,2820477.19830894,81.1325000059965
4133935.2204869,2820377.19830891,0
4133935.2204869,2820277.19830888,625.842000001995
4133935.2204869,2820177.19830885,0
4133935.2204869,2820677.198309,0
4133935.2204869,2820577.19830897,0
4133935.22048692,2824277.19831005,0
4133935.22048692,2824177.19831002,0
4133935.22048691,2823277.19830976,0
4133935.22048691,2823177.19830973,2715.60999998222
4133935.22048691,2823077.19830969,0
4133935.22048691,2822977.19830967,0
4133935.22048692,2823677.19830987,0
4133935.22048692,2823577.19830984,0
4133935.22048692,2823477.19830981,0
4133935.22048691,2823377.19830978,0
4133935.22048692,2824077.19830998,0
4133935.22048692,2823977.19830996,485.62499997702
4133935.22048692,2823877.19830993,3.82169570174301
4133935.22048692,2823777.1983099,307.488304315513
4133835.22048685,2814377.19830716,0
4133835.22048685,2814277.19830713,0
4133835.22048685,2814177.19830711,0
4133835.22048685,2814077.19830708,0
4133835.22048685,2813977.19830705,0
4133835.22048688,2818877.19830847,0
4133835.22048688,2818777.19830845,0
4133835.22048681,2807877.19830526,2587.76166939139
4133835.22048681,2807777.19830523,190.722327496414
4133835.22048681,2807677.1983052,0
4133835.22048681,2807577.19830518,0
4133835.22048683,2811277.19830626,0
4133835.22048683,2811177.19830623,0
4133835.22048683,2811077.1983062,1465.13130453074
4133835.22048683,2810977.19830617,976.540664526634
4133835.22048684,2811477.19830632,0
4133835.22048683,2811377.19830629,0
4133835.22048683,2810877.19830614,623.574999999255
4133835.22048683,2810777.19830611,1130.17400002759
4133835.22048683,2810677.19830608,0
4133935.22048712,2857877.19831966,0
4133935.22048712,2857777.19831964,0
4133935.22048715,2862877.19832108,0
4133935.22048715,2862777.19832105,0
4133935.22048716,2863277.19832119,0
4133935.22048716,2863177.19832116,0
4133935.22048716,2863077.19832113,0
4133935.22048716,2862977.19832111,0
4133935.22048716,2863477.19832124,0
4133935.22048716,2863377.19832122,0
4133835.22048709,2852877.19831824,0
4133835.22048709,2852777.19831822,0
4133835.22048709,2853277.19831836,0
4133835.22048709,2853177.19831834,0
4133835.22048709,2853677.19831847,0
4133835.22048709,2853577.19831844,0
4133835.22048709,2853477.19831842,0
4133835.22048709,2853377.19831839,0
4133835.22048709,2853877.19831853,0
4133835.22048709,2853777.1983185,0
4133835.22048708,2852077.19831802,0
4133835.22048708,2851977.19831799,0
4133835.22048708,2851877.19831796,0
4133835.22048708,2851777.19831793,0
4133835.22048708,2852177.19831805,0
4133835.22048711,2857277.1983195,139.768594130874
4133835.22048711,2857177.19831947,158.509405874508
4133835.22048711,2857077.19831944,0
4133835.22048711,2856977.19831941,0
4133835.2204871,2854377.19831867,0
4133835.2204871,2854277.19831864,0
4133835.2204871,2854177.19831862,0
4133835.22048712,2857677.19831961,0
4133835.22048712,2857577.19831958,0
4133835.22048711,2857477.19831955,0
4133835.22048711,2857377.19831952,0
4133835.22048712,2857977.19831969,0
4133835.22048712,2857877.19831966,0
4133835.22048712,2857777.19831964,0
4133835.22048715,2862877.19832108,0
4133835.22048715,2862777.19832105,0
4133835.22048715,2863277.19832119,1002.55033605502
4133835.22048715,2863177.19832116,0
4133835.22048715,2863077.19832113,0
4133835.22048715,2862977.1983211,0
4133835.22048715,2863577.19832127,288.68399999477
4133835.22048715,2863477.19832124,0
4133835.22048715,2863377.19832122,0
4133835.22048693,2827277.19831091,0
4133835.22048693,2827177.19831089,0
4133835.22048693,2827677.19831103,1500.32269088421
4133835.22048693,2827577.198311,0
4133835.22048693,2827477.19831097,0
4133835.22048693,2827377.19831094,0
4133835.22048694,2827977.19831111,723.762167481612
